code_etab;id_contrib;comment_1;note_globale_1;sentiment_SERVICE_1;target_SERVICE_1;sample_SERVICE_1;sentiment_AMBIANCE_1;target_AMBIANCE_1;sample_AMBIANCE_1;sentiment_QUALITY_1;target_QUALITY_1;sample_QUALITY_1;sentiment_PRICE_1;target_PRICE_1;sample_PRICE_1;sentiment_GENERAL_1;target_GENERAL_1;sample_GENERAL_1;sentiment_LOCATION_1;target_LOCATION_1;sample_LOCATION_1;comment_2;note_globale_2;sentiment_SERVICE_2;target_SERVICE_2;sample_SERVICE_2;sentiment_AMBIANCE_2;target_AMBIANCE_2;sample_AMBIANCE_2;sentiment_QUALITY_2;target_QUALITY_2;sample_QUALITY_2;sentiment_PRICE_2;target_PRICE_2;sample_PRICE_2;sentiment_GENERAL_2;target_GENERAL_2;sample_GENERAL_2;sentiment_LOCATION_2;target_LOCATION_2;sample_LOCATION_2;comment_3;note_globale_3;sentiment_SERVICE_3;target_SERVICE_3;sample_SERVICE_3;sentiment_AMBIANCE_3;target_AMBIANCE_3;sample_AMBIANCE_3;sentiment_QUALITY_3;target_QUALITY_3;sample_QUALITY_3;sentiment_PRICE_3;target_PRICE_3;sample_PRICE_3;sentiment_GENERAL_3;target_GENERAL_3;sample_GENERAL_3;sentiment_LOCATION_3;target_LOCATION_3;sample_LOCATION_3;summary_SERVICE;summary_AMBIANCE;summary_QUALITY;summary_PRICE;summary_GENERAL;summary_LOCATION
50707553;578c7936e2f922033d70a0bb;"Terrasse ombragée, calme  et agréable. Accueil sympathique et joli service. Excellente cuisine avec produits frais et de qualité. Très bon rapport qualité-prix. À recommander.";5;"positive";"Accueil, service";"Accueil sympathique et joli service";"positive";"Terrasse";"Terrasse ombragée";"positive";"cuisine";"Excellente cuisine avec produits frais et de qualité";"positive";"qualité - prix";"Très bon rapport qualité-prix";"-";"-";"-";"-";"-";"-";"Très bonne cuisine , temps d'attente entre les  repas trop  long";5;"negative";"attente";"temps d'attente entre les  repas trop  long";"-";"-";"-";"negative";"cuisine";"Très bonne cuisine";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Des viandes et des poissons frais cuits à la perfection, des sauces savoureuses, des desserts maison excellents (le café gourmand porte bien son nom). Que du bonheur !!!! Nous reviendrons";5;"-";"-";"-";"-";"-";"-";"positive";"viandes, poissons, sauces, desserts";"des desserts maison excellents (le café gourmand porte bien son nom)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"neutral";"positive";"neutral";"positive";"-";"-"
50708830;5667cc82d1db7e18d3031dda;"J'en vient tout juste et hors mis les 10 minutes d'attente pour passer ma commande au drive alors qu'il n'y avait qu'une auto devant et les 15 min pour être servis parce que la fille était seule à son poste du moins ce fus son excuse, elles ont aussi trouver le moyen d'oublier un happy meal et nos 2 grands coca sur notre commande que j'ai bien évidemment payé !!!! Le pire c'est que ce n'est pas la première expérience de ce genre dans ce même établissement d'où mon commentaire";2;"negative";"attente";"J'en vient tout juste et hors mis les 10 minutes d'attente pour passer ma commande au drive alors qu'il n'y avait qu'une auto devant et les 15 min pour être servis parce que la fille était seule à son poste du moins ce fus son excuse";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Je suis arrivé pour une pause repas vers midi, des mon arrivé j ai trouvé un acceuil très souriant, et tout de suite on m' a proposé un service à table. L ' employé est venu prendre ma commande rapidement et j ai été servit peu de temps après. Un restaurant propre et les toilettes aussi. J y retournerais volontiers.";2;"positive";"acceuil, service";"et tout de suite on m' a proposé un service à table";"-";"-";"-";"-";"-";"-";"-";"-";"-";"positive";"restaurant";"Un restaurant propre et les toilettes aussi";"-";"-";"-";"J'en vient tout juste et hors mis les 10 minutes d'attente pour passer ma commande au drive alors qu'il n'y avait qu'une auto devant et les 15 min pour être servis parce que la fille était seule à son poste du moins ce fus son excuse, elles ont aussi trouver le moyen d'oublier un happy meal et nos 2 grands coca sur notre commande que j'ai bien évidemment payé !!!! Le pire c'est que ce n'est pas la première expérience de ce genre dans ce même établissement d'où mon commentaire";2;"negative";"attente";"J'en vient tout juste et hors mis les 10 minutes d'attente pour passer ma commande au drive alors qu'il n'y avait qu'une auto devant et les 15 min pour être servis parce que la fille était seule à son poste du moins ce fus son excuse";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"neutral";"-";"-";"-";"positive";"-"
50709218;5667cc66d1db7e18d302f9df;"pour moi c'est une des meilleures pizzéria de paris. allez y sans réfléchir. leurs pizzas sont excellentes.";5;"-";"-";"-";"-";"-";"-";"positive";"pizzas";"leurs pizzas sont excellentes";"-";"-";"-";"-";"-";"-";"-";"-";"-";"pour moi c'est une des meilleures pizzéria de paris. allez y sans réfléchir. leurs pizzas sont excellentes.";5;"-";"-";"-";"-";"-";"-";"positive";"pizzas";"leurs pizzas sont excellentes";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";5;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"positive";"-";"-";"-"
50712499;59060e895c038a3fb0fd1341;"Après un petit match de foot , combien il est agréable de retrouver ce chaleureux climat chez Ghys & Lo.  Tout est impec, inutile de détailler davantage.";5;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"L'accueil est chaleureux. Le décor sobre et de bon goût. Les plats du jour variés et soignés. La carte n'est pas très longue, mais c'est rassurant. Nous aimons beaucoup, mon mari et moi.";5;"positive";"accueil";"L'accueil est chaleureux";"-";"-";"-";"positive";"goût, plats, carte";"La carte n'est pas très longue";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Je ne comprends pas du tout l'avis précédent, sauf à penser à un concurrent jaloux :)  tout cela est faux et archi faux. Nous travaillons sur la zone commerciale de Labege et avec les collègues allons régulièrement  manger ds ce restau. Franchement aurait on envie de s'empoisonner  La cuisine est excellente, tout est fait maison et les prix plus q raisonnables au vue de la qualité. À recommander bien sûr :)";5;"-";"-";"-";"-";"-";"-";"positive";"cuisine";"Franchement aurait on envie de s'empoisonner  La cuisine est excellente";"positive";"prix";"tout est fait maison et les prix plus q raisonnables au vue de la qualité";"positive";"restau";"Nous travaillons sur la zone commerciale de Labege et avec les collègues allons régulièrement  manger ds ce restau";"-";"-";"-";"positive";"-";"positive";"positive";"positive";"-"
50715631;598180a8334af54dcec7793c;"le dos de cabillod est excellent!!";4;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Menu de midi qui nous a ravi les papilles. Serveur charmant et marrant . C est frais c est bon! Superbe terrasse à tester. Je reviendrai.";4;"positive";"Serveur";"Serveur charmant et marrant";"positive";"terrasse";"Superbe terrasse à tester";"positive";"Menu, papilles";"Menu de midi qui nous a ravi les papilles";"-";"-";"-";"-";"-";"-";"-";"-";"-";"le dos de cabillod est excellent!!";4;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"positive";"positive";"positive";"-";"-";"-"
50719444;5667cc82d1db7e18d3031e45;"Nous sommes allés mon ami et moi dans cette brasserie un jeudi midi. Une clientèle qui travaille mais nous en vacances du coup nous avons mangé a la carte et nous avons parfaitement compris que nous n'étions pas prioritaire. Dans l'ensemble la nourriture était bonne mais le service BEAUCOUP trop long. Ja'i beaucoup aimé la mousse aux chocolat et mon ami s'est laissé séduire par leur tartare et le café gourmand. Toutefois notre sentiment aurait sans doute été meilleur si nous n'avions pas mis 45 min avant de pouvoir passer commande.. C'est dommage car c'est quand même une bonne adresse.";3;"negative";"service";"Dans l'ensemble la nourriture était bonne mais le service BEAUCOUP trop long";"-";"-";"-";"negative";"nourriture, mousse aux chocolat, tartare";"Ja'i beaucoup aimé la mousse aux chocolat et mon ami s'est laissé séduire par leur tartare et le café gourmand";"-";"-";"-";"negative";"adresse";"C'est dommage car c'est quand même une bonne adresse";"-";"-";"-";"Nous sommes allés mon ami et moi dans cette brasserie un jeudi midi. Une clientèle qui travaille mais nous en vacances du coup nous avons mangé a la carte et nous avons parfaitement compris que nous n'étions pas prioritaire. Dans l'ensemble la nourriture était bonne mais le service BEAUCOUP trop long. Ja'i beaucoup aimé la mousse aux chocolat et mon ami s'est laissé séduire par leur tartare et le café gourmand. Toutefois notre sentiment aurait sans doute été meilleur si nous n'avions pas mis 45 min avant de pouvoir passer commande.. C'est dommage car c'est quand même une bonne adresse.";3;"negative";"service";"Dans l'ensemble la nourriture était bonne mais le service BEAUCOUP trop long";"-";"-";"-";"negative";"nourriture, mousse aux chocolat, tartare";"Ja'i beaucoup aimé la mousse aux chocolat et mon ami s'est laissé séduire par leur tartare et le café gourmand";"-";"-";"-";"negative";"adresse";"C'est dommage car c'est quand même une bonne adresse";"-";"-";"-";"-";3;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"negative";"-";"negative";"-";"negative";"-"
50806741;595292bdb9471a21a5b40c91;"La réservation a été acceptée alors que le restaurant est fermé de manière définitive semble t-il";1;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"negative";"restaurant";"La réservation a été acceptée alors que le restaurant est fermé de manière définitive semble t-il";"-";"-";"-";"La réservation a été acceptée alors que le restaurant est fermé de manière définitive semble t-il";1;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"negative";"restaurant";"La réservation a été acceptée alors que le restaurant est fermé de manière définitive semble t-il";"-";"-";"-";"-";1;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"negative";"-"
50823765;5667cc68d1db7e18d3030205;"Enfin un restaurant dans notre cher village. Au départ nous y sommes allés pour le coté pratique et nous sommes revenus pour leur chaleur. Tout l'esprit Boucanier et traditionnel y est respecté. L'équipe est formidable. La cuisine est traditionnelle et les prix sont raisonnables (surtout le midi mais je n'ai jamais la chance d'y aller !)";4;"-";"-";"-";"-";"-";"-";"positive";"cuisine";"La cuisine est traditionnelle et les prix sont raisonnables (surtout le midi mais je n'ai jamais la chance d'y aller";"positive";"prix";"La cuisine est traditionnelle et les prix sont raisonnables (surtout le midi mais je n'ai jamais la chance d'y aller";"positive";"restaurant";"Enfin un restaurant dans notre cher village";"-";"-";"-";"Nous sortons du Chti boucanier ou nous avons très bien mangé ..... très bon accueil et service ....terrasse agréable ... nous recommandons ce restaurant";4;"positive";"accueil, service";"très bon accueil et service";"positive";"terrasse";"terrasse agréable";"-";"-";"-";"-";"-";"-";"positive";"restaurant";"nous recommandons ce restaurant";"-";"-";"-";"Enfin un restaurant dans notre cher village. Au départ nous y sommes allés pour le coté pratique et nous sommes revenus pour leur chaleur. Tout l'esprit Boucanier et traditionnel y est respecté. L'équipe est formidable. La cuisine est traditionnelle et les prix sont raisonnables (surtout le midi mais je n'ai jamais la chance d'y aller !)";4;"-";"-";"-";"-";"-";"-";"positive";"cuisine";"La cuisine est traditionnelle et les prix sont raisonnables (surtout le midi mais je n'ai jamais la chance d'y aller";"positive";"prix";"La cuisine est traditionnelle et les prix sont raisonnables (surtout le midi mais je n'ai jamais la chance d'y aller";"positive";"restaurant";"Enfin un restaurant dans notre cher village";"-";"-";"-";"positive";"positive";"positive";"positive";"positive";"-"
50827464;5667cc68d1db7e18d303021c;"restaurant tres sympas le midi comme le soir, cuisine type bistrot, tres bon rapport qualitee prix, avec des plats du jour a 7€50, le patron est tres bien, service rapide, je recommande";5;"positive";"patron, service";"service rapide";"-";"-";"-";"positive";"cuisine, plats";"avec des plats du jour a 7€50";"positive";"prix";"tres bon rapport qualitee prix";"positive";"restaurant";"restaurant tres sympas le midi comme le soir";"-";"-";"-";"restaurant tres sympas le midi comme le soir, cuisine type bistrot, tres bon rapport qualitee prix, avec des plats du jour a 7€50, le patron est tres bien, service rapide, je recommande";5;"positive";"patron, service";"service rapide";"-";"-";"-";"positive";"cuisine, plats";"avec des plats du jour a 7€50";"positive";"prix";"tres bon rapport qualitee prix";"positive";"restaurant";"restaurant tres sympas le midi comme le soir";"-";"-";"-";"-";5;"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"positive";"-";"positive";"positive";"positive";"-"
50845892;5667cc68d1db7e18d30302b6;"Nous sommes allé manger dans ce restaurant pizzéria, c'était la première fois, pour tester. Au final c'était plutot une déception : temps d'attente beaucoup trop long, pour 4 pizzas on a attendu 1h avant d'être servis ! La qualité des pizzas est vraiment médiocre, pâte dure non levée.....  Heureusement que les prix sont corrects, mais c'est une adresse que nous ne conseillons pas !";2;"negative";"attente";"temps d'attente beaucoup trop long";"-";"-";"-";"negative";"pizzas, pâte";"pâte dure non levée";"negative";"prix";"Heureusement que les prix sont corrects";"negative";"restaurant, adresse";"mais c'est une adresse que nous ne conseillons pas";"-";"-";"-";"Un conseil,  n'y allez pas.  J'ai voulu manger un filet de boeuf saignant il est tres à point.  Mon fils un magret de canard devinez? Trop cuit. J'ai signale à la serveuse,  à m'a répondu qu'elle le signalerai en cuisine. Par contre après elle faisait  une de ses tronches.  Bref une fois mais pas deux. Je pense que le cuisto doit faire un bon stage en cuisine,  enfin si c'est un cuisto???";2;"negative";"serveuse";"J'ai signale à la serveuse";"-";"-";"-";"negative";"filet de boeuf saignant, magret de canard, cuisine";"à m'a répondu qu'elle le signalerai en cuisine";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Produits frais, pizzas généreuses et excellentes.Les nouveaux patrons sont adorables. Le cadre est à rénové par contre sinon tout le reste est impeccable.Rapport très correct.";2;"-";"-";"-";"positive";"cadre";"Le cadre est à rénové par contre sinon tout le reste est impeccable";"positive";"Produits, pizzas";"pizzas généreuses et excellentes";"-";"-";"-";"-";"-";"-";"-";"-";"-";"negative";"positive";"neutral";"negative";"negative";"-"
